"site_name","rodne_pid","field_pvt","field_plant_assoc","sdi_1911","sdi_2011","max_sdi","rdi_1911","rdi_2011","rdi_diff","sdi_diff"
"Ashland","A27","Douglas-fir - Dry","PSME-PIPO/RHDI6",19.0786530216202,322.076497528312,499,0.0382337735904212,0.645443882822268,0.607210109231846,302.997844506691
"Ashland","A28","White fir - Intermediate","ABCO-PSME/ROGY",114.284825390161,406.761318223023,530,0.215631746019172,0.767474185326458,0.551842439307286,292.476492832862
"Ashland","A29","White fir - Intermediate","PSME-ABCO",81.2893812879525,260.539142997197,530,0.153376191109344,0.491583288673956,0.338207097564611,179.249761709244
"Ashland","A30","White fir - Intermediate","ABCO/SYMO",61.4320636005596,231.958649136708,530,0.11590955396332,0.437657828559827,0.321748274596507,170.526585536149
"Ashland","A31","White fir - Intermediate","PSME-ABCO/SYMO",19.6797986966643,402.140729806601,530,0.0371316956540836,0.758756093974719,0.721624398320635,382.460931109936
"Ashland","A32","White fir - Intermediate","ABCO/BENE2",129.818215193923,370.400911975386,530,0.244940028667779,0.698869645236578,0.453929616568799,240.582696781464
"Ashland","A33","Douglas-fir - Dry","PSME/ARNE-SWO",132.254487923686,192.17780265011,561,0.2357477503096,0.342562928075062,0.106815177765462,59.9233147264242
"Ashland","A34","White fir - Intermediate","PSME-ABCO/SYMO",40.135761497557,384.451333329618,530,0.0757278518821831,0.725379874206827,0.649652022324644,344.315571832061
"Ashland","A35","White fir - Intermediate","PSME-ABCO",53.3927748114007,136.94825504857,530,0.100741084549813,0.258392934053905,0.157651849504093,83.5554802371691
"Ashland","A36","White fir - Intermediate","ABCO/BENE2/LIBOL",152.084041924533,299.194637763388,530,0.28695102249912,0.564518184459222,0.277567161960102,147.110595838854
"Ashland","A37","White fir - Intermediate","PSME-ABCO/SYMO",121.653854201687,154.348590921012,530,0.229535573965448,0.29122375645474,0.0616881824892924,32.694736719325
"Ashland","A38","White fir - Intermediate","PSME-ABCO",12.0538110126169,470.043580553501,530,0.0227430396464469,0.886874680289624,0.864131640643177,457.989769540884
"Ashland","A39","White fir - Intermediate","ABCO/BENE2",66.4460323503153,208.744753414405,530,0.125369872359085,0.393858025310199,0.268488152951113,142.29872106409
"Ashland","A40","White fir - Intermediate","PSME-ABCO",122.755823624573,283.168527177796,530,0.231614761555799,0.534280239958106,0.302665478402307,160.412703553223
"Ashland","A41","Douglas-fir - Dry","PSME-PIPO/RHDI6",120.955934276549,250.161037908106,499,0.242396661876852,0.501324725266745,0.258928063389894,129.205103631557
"Ashland","A42","White fir - Intermediate","PSME-ABCO",28.7060635375312,319.659470435239,530,0.0541623840330777,0.603131076292904,0.548968692259826,290.953406897708
"Ashland","A43","White fir - Intermediate","PSME-ABCO",23.6591429283685,316.035410422292,530,0.0446398923176764,0.596293227211872,0.551653334894196,292.376267493924
"Ashland","A44","White fir - Intermediate","PSME-ABCO/SYMO",143.616811814454,346.830535465087,530,0.270975116631045,0.65439723672658,0.383422120095535,203.213723650633
"Ashland","A45","White fir - Intermediate","PSME-ABCO",41.4817061400391,344.679566550844,530,0.0782673700755455,0.650338804812914,0.572071434737368,303.197860410805
"Ashland","A46","White fir - Intermediate","PSME-ABCO",110.779528569405,320.825371988449,530,0.209017978432839,0.605330890544243,0.396312912111404,210.045843419044
"Ashland","A47","White fir - Intermediate","ABCO/BENE2",18.2270202985261,323.636192310464,530,0.0343906043368416,0.610634325114084,0.576243720777242,305.409172011938
"Ashland","A48","White fir - Intermediate","ABCO/BENE2",40.6652751458487,331.467910070947,530,0.0767269342374503,0.625411151077258,0.548684216839808,290.802634925098
"Ashland","A49","White fir - Intermediate","ABCO/BENE2",73.4477408526858,322.07207695213,530,0.138580643118275,0.607683164060623,0.469102520942348,248.624336099444
"Ashland","A50","White fir - Intermediate","PSME-ABCO",80.9553476949925,85.6478718939096,530,0.152745939047156,0.161599758290396,0.00885381924323991,4.69252419891716
"Ashland","A51","White fir - Intermediate","ABCO/BENE2",95.3395965959917,269.235231612712,530,0.179886031313192,0.507991003042854,0.328104971729662,173.895635016721
"Ashland","A52","White fir - Intermediate","ABCO/BENE2/LIBOL",211.689908946439,215.939457304208,530,0.39941492254045,0.407432938309826,0.00801801576937533,4.24954835776893
"Ashland","A53","White fir - Intermediate","ABCO/BENE2",152.153189610746,339.018227788274,530,0.287081489831597,0.639657033562781,0.352575543731184,186.865038177528
"Ashland","A54","White fir - Intermediate","PSME-ABCO",28.0004489288174,358.531500127257,530,0.0528310357147498,0.676474528541994,0.623643492827244,330.531051198439
"Ashland","A55","White fir - Intermediate","ABCO/BENE2/LIBOL",104.628701417117,170.906455052476,530,0.197412644183239,0.322465009532973,0.125052365349734,66.2777536353592
"Ashland","A56","White fir - Intermediate","PSME-ABCO",202.124889762758,385.109595190567,530,0.381367716533505,0.726621877718052,0.345254161184546,182.98470542781
"Ashland","A57","White fir - Intermediate","PSME-ABCO",26.8645637018581,170.225996353337,530,0.0506878560412416,0.321181125194976,0.270493269153735,143.361432651479
"Ashland","A58","White fir - Intermediate","PSME-ABCO",221.06738666285,311.547509855293,530,0.417108276722358,0.587825490293007,0.170717213570649,90.4801231924438
"Ashland","A59","Douglas-fir - Dry","PSME/ARNE-SWO",39.0197816589128,134.192397113738,561,0.0695539780016271,0.239202133892582,0.169648155890955,95.1726154548255
"Big Butte","B01","Douglas-fir - Dry","PSME/HODI/WHMO-SWO",0,252.231740775062,530,0,0.475908944858608,0.475908944858608,252.231740775062
"Big Butte","B02","Douglas-fir - Dry","PSME/DRY SHRUB",99.1979828410275,301.053782758574,530,0.187166005360429,0.568026005204857,0.380859999844428,201.855799917547
"Big Butte","B03","Douglas-fir - Dry","PSME-PIPO/RHDI6",86.8744878281737,334.468763980554,499,0.17409716999634,0.670278084129366,0.496180914133026,247.59427615238
"Big Butte","B04","Douglas-fir - Dry","PSME-PIPO/RHDI6",244.302574666274,447.902626484254,499,0.489584317968486,0.89760045387626,0.408016135907774,203.600051817979
"Big Butte","B05","Douglas-fir - Dry","PSME-PIPO/RHDI6",157.60267316232,211.761724134384,499,0.31583702036537,0.424372192654076,0.108535172288706,54.1590509720645
"Big Butte","B06","Douglas-fir - Dry","PSME-PIPO/RHDI6",36.7213798603091,325.562767945679,499,0.0735899395998178,0.652430396684728,0.57884045708491,288.84138808537
"Big Butte","B07","Douglas-fir - Dry","PSME-PIPO/RHDI6",222.665098980987,404.041512240962,499,0.446222643248472,0.809702429340605,0.363479786092134,181.376413259975
"Big Butte","B08","Douglas-fir - Dry","PSME/DRY SHRUB",151.352322944221,270.583077780236,530,0.285570420649473,0.510534109019313,0.22496368836984,119.230754836015
"Big Butte","B09","Douglas-fir - Dry","PSME-PIPO/RHDI6",91.9118462496289,287.035740985852,499,0.184192076652563,0.575221925823352,0.391029849170789,195.123894736223
"Big Butte","B10","Douglas-fir - Dry","PSME-PIPO/RHDI6",204.675147931975,302.682262957315,499,0.410170637138226,0.606577681277184,0.196407044138958,98.0071150253399
"Briggs Secret","R01","Tan oak - Douglas-fir - Dry","LIDE3-PSME-QUCH2/BENE2",80.3294121597716,689.141360731,561,0.143189682994245,1.22841597278253,1.08522628978828,608.811948571228
"Briggs Secret","R02","Tan oak - Douglas-fir - Dry","LIDE3-PSME-QUCH2/BENE2",24.1693103214862,418.235569330876,561,0.0430825495926669,0.745517948896392,0.702435399303725,394.06625900939
"Briggs Secret","R03","Tan oak - Douglas-fir - Dry","LIDE3-PSME-QUCH2/BENE2",154.1486390256,386.092538913653,561,0.27477475762139,0.68822199449849,0.4134472368771,231.943899888053
"Briggs Secret","R04","Tan oak - Douglas-fir - Dry","LIDE3-PSME-QUCH2/BENE2",15.4067247822659,418.453702705601,561,0.0274629675263207,0.745906778441357,0.718443810915036,403.046977923335
"Briggs Secret","R05","Tan oak - Douglas-fir - Dry","LIDE3-PSME-QUCH2/BENE2",34.4793898355988,400.356620893473,561,0.0614605879422438,0.713648165585513,0.65218757764327,365.877231057874
"Briggs Secret","R06","Tan oak - Douglas-fir - Dry","LIDE3-PSME-QUCH2/BENE2",125.123228081829,495.552444611335,561,0.223036057186861,0.883337690929296,0.660301633742435,370.429216529506
"Briggs Secret","R07","Tan oak - Douglas-fir - Dry","LIDE3-PSME-QUCH2/BENE2",251.141261623318,407.766939932039,561,0.447667133018392,0.726857290431443,0.279190157413051,156.625678308721
