site_name,rodne_pid,pcid,field_plant_assoc,field_pvt,PVTName,IMAPDescription,PVTGroupName,bps_value,bps_name,insol,insol_value,elevation_m,date_sampled,year_sampled
Big Butte Creek,BA,MBB,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1127968.5,708,2012,2012
Trail Creek,C01,TC01,PIPO-PSME,Ponderosa pine - Dry,White fir - Intermediate,white fir intermediate,White fir,710531,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic,Warm,1208588,687,6/19/2012,2012
Trail Creek,C02,TC02,PSME/DRY SHRUB,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1337170.125,673,6/12/2012,2012
Trail Creek,C03,TC03,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1265405,648,6/12/2012,2012
Trail Creek,C04,TC04,PSME/HODI/WHMO-SWO,Douglas-fir - Dry,White fir - Intermediate,white fir intermediate,White fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1201549.25,631,6/18/2012,2012
Trail Creek,C05,TC05,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1247357.875,599,6/18/2012,2012
Trail Creek,C06,TC06,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1113031.625,654,6/8/2012,2012
Trail Creek,C07,TC07,PSME-PIPO/RHDI6,Douglas-fir - Dry,Oregon white oak,Oregon white oak,Oregon white oak,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1228137.375,650,6/20/2012,2012
Trail Creek,C08,TC08,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1356505.875,698,10/25/2012,2012
Trail Creek,C09,TC09,PSME/HODI/WHMO-SWO,Douglas-fir - Dry,Oregon white oak,Oregon white oak,Oregon white oak,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1073920.375,713,11/6/2012,2012
Trail Creek,C10,TC09b,PSME/DRY SHRUB,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Cool,1086468.625,649,10/26/2012,2012
Trail Creek,C11,TC10,PSME/DRY SHRUB,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1163660.25,624,10/26/2012,2012
Trail Creek,CA,MTL,PSME-PIPO/RHDI6,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1185811.25,668,2012,2012
Elder Creek,E01,HC01,PSME-CADE27-PIJE,Jeffrey pine,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1373326.375,799,9/15/2014,2014
Elder Creek,E02,HC02,PSME-CADE27-PIJE,Jeffrey pine,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1311220.875,856,7/10/2014,2014
Elder Creek,E03,HC03,PSME-CADE27-PIJE,Jeffrey pine,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1382142.5,895,7/10/2014,2014
Elder Creek,E04,HC04,PSME-CADE27-PIJE,Jeffrey pine,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1352875,995,6/16/2014,2014
Elder Creek,E05,HC05,PSME-CADE27-PIJE,Jeffrey pine,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1370669.875,1047,6/16/2014,2014
Elder Creek,E06,HC06,PSME-CADE27-PIJE,Jeffrey pine,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1394763.125,996,7/9/2014,2014
Elder Creek,E07,HC07,PSME-CADE27-PIJE,Jeffrey pine,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1404855.375,980,7/8/2014,2014
Elder Creek,E08,HC08,PSME-CADE27-PIJE,Jeffrey pine,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1404081,958,11/14/2011,2011
Elder Creek,E09,HC09,PSME-CADE27-PIJE,Jeffrey pine,Ultramafic,Jeffrey pine,Jeffrey pine,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1203614.5,967,11/14/2011,2011
Elder Creek,E10,HC10,PSME-QUCH2/RHDI6,Douglas-fir - Dry,Douglas-fir - Moist,Douglas fir moist (SWO),Douglas-fir,710270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Warm,1403170.375,930,11/17/2011,2011
Grayback,G01,GB01,LIDE3-PSME-QUCH2/RHDI6,Tan oak - Douglas-fir - Dry,Tan oak - Douglas-fir - Dry,tan oak/Douglas fir dry,Tan oak,10431,Mediterranean California Mixed-Evergreen Forest -- Interior,Warm,1374851.125,784,9/4/2014,2014
Grayback,G02,GB02,LIDE3-PSME-QUCH2/RHDI6,Tan oak - Douglas-fir - Dry,Tan oak - Douglas-fir - Dry,tan oak/Douglas fir dry,Tan oak,10431,Mediterranean California Mixed-Evergreen Forest -- Interior,Warm,1365469.25,738,9/8/2014,2014
Grayback,G03,GB03,LIDE3-PSME-QUCH2/RHDI6,Tan oak - Douglas-fir - Dry,Douglas-fir - Dry,Douglas fir dry (SW),Douglas-fir,10431,Mediterranean California Mixed-Evergreen Forest -- Interior,Warm,1368490.75,675,9/11/2014,2014
