SiteName,SiteAb,Rodne_PID,PCID,Insol,SolarIns,elevation_m,PVT,TPI,AET_1900_09,AET_2000_09,AET_2000_09SD,CWD_1900_09,CWD_2000_09,CWD_2000_09SD,POINT_X,POINT_Y,WatBal_AET_Current_V1_2019,WB_AET_Current_V2_2022,WatBal_AET_Futr_V1_2019,WB_AET_Future_V2_2022,WatBal_PET_Current_V1_2019,WB_PET_Current_V2_2022,WatBal_PET_Futr_V1_2019,WB_PET_Future_V2_2022,WatBal_Deficit_Current_V1_OR_2019,WB_Deficit_Current_V2_2022_2023,WatBal_Deficit_Futr_V1_OR_2019,WB_Deficit_Future_V2_2022
Briggs Secret,BS,R02,BS02,Warm,1191566.375,888,Tan oak - Douglas-fir - Dry,Ridge Top,518,492.6000061,73.42914581,579.8599854,668,82.40145111,-123.6775075,42.4331262,453.7459717,609.5862427,444.7816162,599.9384766,764.0609131,824.4927368,809.9503784,888.0654297,310.3149719,214.9065094,365.1687927,288.1269836
Briggs Secret,BS,R03,BS03,Warm,1353783.375,927,Tan oak - Douglas-fir - Dry,Ridge Top,518,492.6000061,73.42914581,579.8599854,668,82.40145111,-123.6723323,42.43421416,451.7512817,545.1030884,444.0831604,540.9155884,795.1100464,697.0579224,843.3292236,753.7904663,343.3587952,151.9548492,399.2460632,212.8749084
Briggs Secret,BS,R04,BS04,Cool,845141.375,852,Tan oak - Douglas-fir - Dry,Mid Slope,518,492.6000061,73.42914581,579.8599854,668,82.40145111,-123.6755733,42.43583192,412.7371216,582.925293,401.4648132,577.0970459,627.9093628,769.567688,662.0891724,830.2166138,215.172226,186.642395,260.6243896,253.1195679
Briggs Secret,BS,R05,BS05,Cool,888113.125,790,Tan oak - Douglas-fir - Dry,Mid Slope,513.4000244,493,69.28780365,597.5599976,685,83.7109375,-123.6778128,42.43600189,420.2208862,583.2623901,410.7173462,579.9439697,660.1121826,770.5577393,696.7946167,832.7692871,239.8912811,187.2953796,286.0772705,252.8252869
Briggs Secret,BS,R06,BS06,Warm,1194814.375,954,Tan oak - Douglas-fir - Dry,Ridge Top,518,492.6000061,73.42914581,579.8599854,668,82.40145111,-123.6701877,42.43610287,426.0764771,585.505249,417.1731262,582.3408203,707.0444946,785.4139404,749.1952515,851.5752563,280.9680481,199.9086609,332.0220947,269.2344055
Briggs Secret,BS,R07,BS07,Cool,981945.5625,680,Tan oak - Douglas-fir - Dry,Mid Slope,513.4000244,493,69.28780365,597.5599976,685,83.7109375,-123.6818296,42.43673151,440.7592468,592.5476074,432.2038879,591.0829468,729.1472168,787.8171387,771.0237427,852.7696533,288.3880005,195.2695313,338.8198242,261.6867371
Elder Creek,ED,E10,HC10,Warm,1403170.375,930,Douglas-fir - Dry,Mid Slope,592.7000122,555.5999756,93.33616638,626.6699829,718,90.3380127,-123.5685262,42.05810828,496.8969421,614.7392578,485.532074,608.1280518,826.0626831,835.0085449,877.2789917,899.7571411,329.1657715,220.2693329,391.7468872,291.6291199
Elder Creek,ED,E08,HC08,Warm,1404081,958,Jeffrey pine,Ridge Top,609.9000244,577.2999878,84.44412231,632.0299683,730,93.67359161,-123.5657292,42.05529985,507.1052551,621.7318115,495.197876,613.5025635,828.8327026,855.4744873,880.1452637,920.5014648,321.7274475,233.742691,384.9473877,306.9988708
Elder Creek,ED,E09,HC09,Warm,1203614.5,967,Jeffrey pine,Mid Slope,609.9000244,577.2999878,84.44412231,632.0299683,730,93.67359161,-123.5664351,42.05668131,468.8790283,625.9406738,467.560791,617.1109619,762.553833,849.6160278,821.6765747,912.9125366,293.6748047,223.6753387,354.1157532,295.8015747
Elder Creek,ED,E01,HC01,Warm,1373326.375,799,Jeffrey pine,Mid Slope,609.9000244,577.2999878,84.44412231,632.0299683,730,93.67359161,-123.5689669,42.05222884,501.6542969,603.7830811,491.3199158,600.119751,824.1871948,825.3792114,875.055603,890.9419556,322.5328979,221.5961304,383.7357178,290.8221741
